date,ticker,nav,open,high,low,close,volume,trading_value,base_index
2026-01-30,451060,24954.74,24770,25455,24735,25000,219553,5517678175,768.41
2026-01-30,491610,103170.84,103175,103185,103175,103185,7222,745176169,11677.9
2026-01-30,0103T0,10995.26,11220,11255,10975,11025,300260,3337249706,2178.33
2026-01-30,463290,107468.22,107480,107480,107465,107475,9863,1060023775,14513.45
2026-01-30,0131W0,100527.49,100535,100540,100525,100525,30542,3070518110,115.38
2026-01-30,479080,52762.31,52755,52765,52755,52765,44254,2334917719,118.76
2026-01-30,0026S0,12190.01,12110,12145,12080,12095,301670,3653870518,6939.03
2026-01-30,0052S0,11433.08,11350,11400,11345,11390,407588,4636865701,277.47
2026-01-30,0069M0,12369.49,12275,12330,12235,12255,180480,2214711810,25552.39
2026-01-30,0111P0,10462.55,10385,10430,10380,10400,388115,4038852537,2885.81
2026-01-30,0083S0,11434.88,11335,11390,11290,11335,201103,2280089738,2006.85
2026-01-30,0004G0,9117.34,9070,9080,9040,9055,21861,197998662,4200.78
2026-01-30,0131V0,13723.81,13670,13670,13490,13660,2355176,32017163789,4563.06
2026-01-30,0094X0,10136.98,10020,10030,9835,9900,130485,1299457215,1935.88
2026-01-30,0017Y0,96929.62,97215,97215,96960,96960,137,13295105,122.99
2026-01-30,0052T0,50094.13,50115,50115,50115,50115,31,1553565,118.25
2026-01-30,472350,17232.4,17105,17105,16800,16850,203,3447270,9317.09
2026-01-30,495330,22860.41,22535,23285,22460,22960,58298,1341524770,2330.71
2026-01-30,492500,51051.06,51105,51105,51045,51055,1534,78341580,11840.22
2026-01-30,473440,10666.87,10665,10670,10645,10660,26747,284893495,121.84
2026-01-30,105190,77650.25,76915,80000,76820,77645,2050462,160149604453,768.41
2026-01-30,332500,51714.72,51240,52685,51240,51770,96159,4993406420,1011.36
2026-01-30,461270,11098.36,11080,11090,11080,11080,11941,132306945,124.34
2026-01-30,475260,10578.26,10580,10580,10575,10575,633,6696570,120.88
2026-01-30,385600,9892.49,10165,10165,9870,9870,57559,575096124,1770.21
2026-01-30,475270,10557.01,10555,10560,10550,10550,177,1867555,119.45
2026-01-30,475280,10550.79,10555,10555,10550,10550,266,2806415,121.08
2026-01-30,469150,38880.6,37380,40265,37350,38945,1950110,76019942058,4876.43
2026-01-30,0079X0,12754.24,13665,13665,12270,12425,78861,987496085,2848.18
2026-01-30,385590,16455.86,17010,17010,16365,16365,947,15743195,3149.28
2026-01-30,0010E0,93463.85,93905,93905,93565,93565,208,19479075,198.76
2026-01-30,226380,7111.93,7190,7190,7080,7080,5267,37413166,2357.64
2026-01-30,475050,12392.1,12550,12760,12345,12345,1806296,22789742891,3100.56
2026-01-30,411060,35376.41,37860,37860,34500,35440,14715981,530272788001,5928.15
2026-01-30,291130,19570.99,19515,19735,19500,19680,1551,30463847,13585.84
2026-01-30,256440,8160.63,7800,8165,7765,8125,330942,2644329703,6111.57
2026-01-30,261920,13584.12,13470,13715,13470,13715,182,2476693,1620.18
2026-01-30,0021D0,11171.61,11200,11235,11100,11120,33636,375417490,2750.91
2026-01-30,0021E0,12246.02,12365,12365,12195,12250,164100,2013660412,3414.73
2026-01-30,0139P0,12970.77,13040,13115,12910,13005,132797,1729365772,3237.43
2026-01-30,225130,81245.09,84950,87995,74877,76135,101535,8093518910,285.94
2026-01-30,483340,17089.82,17280,17280,16965,17040,915350,15634035744,6083.52
2026-01-30,365780,84816.97,86000,86000,84820,84820,25914,2202383895,16079.49
2026-01-30,114460,101753.76,101825,101860,101710,101750,2062,209831105,10275.58
2026-01-30,494340,12670.62,12365,12610,12365,12495,18855,236506054,5842.52
2026-01-30,446770,57617.15,56365,57515,56085,57200,550607,31450290569,10394.09
2026-01-30,435040,19128.67,19145,19150,18970,19015,4245,80826344,4785.13
2026-01-30,497510,12516.93,12355,12515,12350,12470,1454,18095294,2140.87
2026-01-30,460960,11720.06,11640,11730,11630,11695,50983,595632472,807.52
2026-01-30,414270,13104.1,13085,13755,13045,13150,62427,821205297,334.99
2026-01-30,440640,110682.29,110675,110680,110670,110680,1605,177630541,121.98
2026-01-30,190620,100554.36,100555,100560,100550,100560,5392,542191983,13000.66
2026-01-30,494330,19347.04,19200,19640,19110,19405,59853,1162063127,2739.21
2026-01-30,265690,48.03,0,0,0,8535,0,0,0.0
2026-01-30,152500,31010.37,30310,32150,30310,30910,130414,4089630269,768.41
2026-01-30,0153P0,10213.39,10240,10255,10200,10205,553939,5658886344,896.43
2026-01-30,483330,12366.35,12420,12430,12150,12305,139440,1728109813,3915.44
2026-01-30,487340,103781.28,103780,103790,103780,103790,15916,1651866458,119.19
2026-01-30,0085P0,10520.73,10470,10525,10455,10500,248269,2604175665,114.28
2026-01-30,0085N0,10071.16,10070,10080,10055,10080,533572,5371319532,114.28
2026-01-30,452250,5381.51,5295,5300,5235,5235,83267,437410557,109.93
2026-01-30,476760,9828.81,9785,9795,9750,9785,528041,5160576046,589.34
2026-01-30,453850,7598.92,7610,7610,7545,7560,2929415,22166162455,589.34
2026-01-30,476750,8582.87,8605,8605,8525,8565,300452,2572840052,111.0
2026-01-30,480030,10711.27,10650,10680,10615,10640,145784,1550895381,1113.96
2026-01-30,0118Z0,9167.73,9185,9215,8960,9045,625101,5683728912,17179.78
