ticker,name,market,market_cap
005930,삼성전자,KOSPI,1289104433064000
000660,SK하이닉스,KOSPI,916535241390000
005935,삼성전자우,KOSPI,127015361434900
402340,SK스퀘어,KOSPI,110977002626000
005380,현대차,KOSPI,108726373746000
373220,LG에너지솔루션,KOSPI,107757000000000
034020,두산에너빌리티,KOSPI,81415321656600
012450,한화에어로스페이스,KOSPI,73065339217000
329180,HD현대중공업,KOSPI,71898439125000
207940,삼성바이오로직스,KOSPI,68047697970000
009150,삼성전기,KOSPI,62145155072000
105560,KB금융,KOSPI,59842498027500
000270,기아,KOSPI,59264693096400
006400,삼성SDI,KOSPI,56006943350000
032830,삼성생명,KOSPI,49900000000000
028260,삼성물산,KOSPI,48407440828500
055550,신한지주,KOSPI,47417970663900
267260,HD현대일렉트릭,KOSPI,45131013020000
068270,셀트리온,KOSPI,44498621330500
010120,LS ELECTRIC,KOSPI,41700000000000
042660,한화오션,KOSPI,40385285329200
012330,현대모비스,KOSPI,38561347775000
005490,POSCO홀딩스,KOSPI,36609585474000
298040,효성중공업,KOSPI,36477631776000
006800,미래에셋증권,KOSPI,36259933824000
086790,하나금융지주,KOSPI,35091634969200
042700,한미반도체,KOSPI,35074889600000
035420,NAVER,KOSPI,33095906618000
010130,고려아연,KOSPI,32958418051000
009540,HD한국조선해양,KOSPI,32661793034000
034730,SK,KOSPI,30813648775000
064350,현대로템,KOSPI,29304705670500
010140,삼성중공업,KOSPI,28468000000000
051910,LG화학,KOSPI,28025160171000
015760,한국전력,KOSPI,27957535553350
000150,두산,KOSPI,25845360660000
096770,SK이노베이션,KOSPI,24715517605600
267250,HD현대,KOSPI,24527352892500
316140,우리금융지주,KOSPI,24481445272000
066570,LG전자,KOSPI,22950691928300
003670,포스코퓨처엠,KOSPI,22414447440000
272210,한화시스템,KOSPI,22160244329700
035720,카카오,KOSPI,20953947063500
086520,에코프로,KOSDAQ,20760173640800
079550,LIG디펜스앤에어로스페이스,KOSPI,20702000000000
000810,삼성화재,KOSPI,20582485053000
033780,KT&G,KOSPI,20446845803500
017670,SK텔레콤,KOSPI,20426534040300
247540,에코프로비엠,KOSDAQ,20153069404000
196170,알테오젠,KOSDAQ,19727221145500
011200,HMM,KOSPI,19336378385000
138040,메리츠금융지주,KOSPI,18692690394100
024110,기업은행,KOSPI,18021824639400
000720,현대건설,KOSPI,18017362777000
086280,현대글로비스,KOSPI,17025000000000
047810,한국항공우주,KOSPI,16473293083000
278470,에이피알,KOSPI,15892496797500
047050,포스코인터내셔널,KOSPI,15358059392400
030200,KT,KOSPI,15348120616500
003550,LG,KOSPI,15283359073500
010950,S-Oil,KOSPI,15142385524000
047040,대우건설,KOSPI,14381767330000
006260,LS,KOSPI,14133600000000
011070,LG이노텍,KOSPI,13561252311000
0126Z0,삼성에피스홀딩스,KOSPI,13511495607000
071050,한국금융지주,KOSPI,13374238080000
277810,레인보우로보틱스,KOSDAQ,12881505712000
018260,삼성에스디에스,KOSPI,12860190360000
259960,크래프톤,KOSPI,12563203740000
307950,현대오토에버,KOSPI,12354503891000
005940,NH투자증권,KOSPI,11990988016850
443060,HD현대마린솔루션,KOSPI,11903283630000
323410,카카오뱅크,KOSPI,11617882640950
352820,하이브,KOSPI,11335891487000
007660,이수페타시스,KOSPI,11033405615700
005830,DB손해보험,KOSPI,10977858492400
001440,대한전선,KOSPI,10496982990000
039490,키움증권,KOSPI,10438869768000
028050,삼성E&A,KOSPI,10407600000000
003230,삼양식품,KOSPI,10101773115000
000250,삼천당제약,KOSDAQ,9746579616000
016360,삼성증권,KOSPI,9599750000000
000880,한화,KOSPI,9405756394600
